identifiers,date,page
"Oral History , Accession Number: 2019.154.13 , RG Number: RG-90.008.0013",interview: 1999 June 16,https://collections.ushmm.org/search/catalog/irn693792
"Oral History , RG Number: RG-50.999.0534",interview: 2015 July 30,https://collections.ushmm.org/search/catalog/irn598647
"Oral History , RG Number: RG-50.999.0443",interview: 2013 July 18,https://collections.ushmm.org/search/catalog/irn598556
"Oral History , RG Number: RG-50.999.0685",interview: 2019 April 18,https://collections.ushmm.org/search/catalog/irn713251
"Oral History , Accession Number: 1999.A.0073 , RG Number: RG-50.549.02.0039",interview: 1999 March 30,https://collections.ushmm.org/search/catalog/irn506705
"Oral History , Accession Number: 1999.A.0122.732 , RG Number: RG-50.477.0732",interview: 1990 May 01,https://collections.ushmm.org/search/catalog/irn515427
"Oral History , Accession Number: 1992.A.0125.51 , RG Number: RG-50.233.0051",interview: 1992 January 18,https://collections.ushmm.org/search/catalog/irn509133
"Oral History , Accession Number: 2006.92 , RG Number: RG-50.562.0010",interview: 2006 March 27interview: 2006 March 30,https://collections.ushmm.org/search/catalog/irn518264
"Oral History , Accession Number: 1996.A.0290 , RG Number: RG-50.030.0441",interview: 1995 May 05,https://collections.ushmm.org/search/catalog/irn504915
"Oral History , Accession Number: 2005.381 , RG Number: RG-50.030.0498",interview: 2005 September 13,https://collections.ushmm.org/search/catalog/irn517612
"Oral History , Accession Number: 2010.142 , RG Number: RG-50.106.0183",interview: 2010 April 23,https://collections.ushmm.org/search/catalog/irn41534
"Oral History , Accession Number: 1991.A.0118.9 , RG Number: RG-50.050.0009",Unknown,https://collections.ushmm.org/search/catalog/irn512480
"Oral History , Accession Number: 2001.137.35 , RG Number: RG-50.010.0035",interview: 1981 June 18,https://collections.ushmm.org/search/catalog/irn508904
"Oral History , Accession Number: 2019.154.25 , RG Number: RG-90.008.0025",interview: 1998 June 06,https://collections.ushmm.org/search/catalog/irn693778
"Oral History , RG Number: RG-50.999.0581",interview: 2016 August 04,https://collections.ushmm.org/search/catalog/irn598694
"Oral History , RG Number: RG-50.999.0601",interview: 2017 May 17,https://collections.ushmm.org/search/catalog/irn598714
"Oral History , RG Number: RG-50.999.0523",interview: 2015 June 24,https://collections.ushmm.org/search/catalog/irn598636
"Oral History , RG Number: RG-50.999.0423",interview: 2013 May 09,https://collections.ushmm.org/search/catalog/irn598536
